#Raman spectra
#Laser energy   1.95 eV
#Raman shift (cm-1), Raman Spectra (XX,YY,ZZ,s+s+,s-s-,XY,YX,s+s-,s-s+,nonpol)
   357.0175  0.11287331E+003  0.11324175E+003  0.75014628E+002  0.85855115E+002  0.85848466E+002  0.23049317E+002  0.23491718E+002  0.50399153E+002  0.50553362E+002  0.91494648E+002
   357.2682  0.11426270E+003  0.11463677E+003  0.75837965E+002  0.86797567E+002  0.86790730E+002  0.23497534E+002  0.23948516E+002  0.51301563E+002  0.51455666E+002  0.92524772E+002
   357.5188  0.11568097E+003  0.11606077E+003  0.76674926E+002  0.87755619E+002  0.87748586E+002  0.23958936E+002  0.24418753E+002  0.52230611E+002  0.52384614E+002  0.93575238E+002
   357.7694  0.11712899E+003  0.11751461E+003  0.77525813E+002  0.88729616E+002  0.88722381E+002  0.24434045E+002  0.24902958E+002  0.53187348E+002  0.53341257E+002  0.94646596E+002
   358.0201  0.11860766E+003  0.11899920E+003  0.78390938E+002  0.89719914E+002  0.89712471E+002  0.24923408E+002  0.25401691E+002  0.54172878E+002  0.54326697E+002  0.95739415E+002
   358.2707  0.12011792E+003  0.12051549E+003  0.79270619E+002  0.90726879E+002  0.90719220E+002  0.25427600E+002  0.25915537E+002  0.55188358E+002  0.55342094E+002  0.96854284E+002
   358.5213  0.12166075E+003  0.12206446E+003  0.80165184E+002  0.91750887E+002  0.91743004E+002  0.25947227E+002  0.26445113E+002  0.56235004E+002  0.56388664E+002  0.97991817E+002
   358.7719  0.12323719E+003  0.12364714E+003  0.81074971E+002  0.92792325E+002  0.92784210E+002  0.26482923E+002  0.26991066E+002  0.57314097E+002  0.57467686E+002  0.99152652E+002
   359.0226  0.12484829E+003  0.12526459E+003  0.82000327E+002  0.93851591E+002  0.93843235E+002  0.27035357E+002  0.27554077E+002  0.58426981E+002  0.58580506E+002  0.10033745E+003
   359.2732  0.12649516E+003  0.12691793E+003  0.82941610E+002  0.94929093E+002  0.94920488E+002  0.27605232E+002  0.28134865E+002  0.59575072E+002  0.59728542E+002  0.10154690E+003
   359.5238  0.12817898E+003  0.12860833E+003  0.83899186E+002  0.96025253E+002  0.96016389E+002  0.28193290E+002  0.28734182E+002  0.60759862E+002  0.60913283E+002  0.10278172E+003
